codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao
902169,,10,-22.920475,-43.645647,1737419968000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],113792.4, ,0.0
902183,,10,-22.965827,-43.646293,1737420941000,9.1,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],135381.9,307,1.0
902167,,12,-22.965079,-43.647115,1737420944000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],139030.0,244,1.0
902162,,12,-22.91975,-43.607744,1737419300000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],107821.9, ,0.0
902483,,67,-22.91933,-43.60847,1737419298000,0.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],32859.1,299,0.0
902330,,60,-22.85047,-43.397846,1737419410000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],6609.8,347,0.0
902479,,68,-22.848484,-43.396361,1737418089000,0.0,,ida,68 - BANGU X TERMINAL DEODORO [IDA],18760.3,97,0.0
902459,,68,-22.870182,-43.432866,1737420941000,0.0,,ida,68 - BANGU X TERMINAL DEODORO [IDA],17189.5,83,1.0
902356,,60,-22.849238,-43.397539,1737396286000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],115707.4, ,0.0
902345,,60,-22.849225,-43.397623,1737419239000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],50743.2,107,0.0
902480,,68,-22.849766,-43.397845,1737420410000,0.0,,ida,68 - BANGU X TERMINAL DEODORO [IDA],35377.3,52,0.0
902470,,67,-22.853524,-43.384156,1737420946000,0.0,,volta,67 - TERMINAL DEODORO X CAMPO GRANDE [VOLTA],41386.1,297,1.0
902465,,68,-22.875001,-43.462483,1737420921000,0.0,,ida,68 - BANGU X TERMINAL DEODORO [IDA],16607.9,187,1.0
902458,,68,-22.853992,-43.383857,1737420930000,0.0,,volta,68 - TERMINAL DEODORO X BANGU [VOLTA],17132.5,309,1.0
902460,,68,-22.849394,-43.396953,1737420933000,0.0,,ida,68 - BANGU X TERMINAL DEODORO [IDA],18380.1,131,1.0
902476,,68,-22.862875,-43.403037,1737420936000,29.2,,volta,68 - TERMINAL DEODORO X BANGU [VOLTA],31835.3,242,1.0
902461,,68,-22.869642,-43.455091,1737420909000,13.5,,volta,68 - TERMINAL DEODORO X BANGU [VOLTA],14142.2,216,1.0
902469,,67,-22.901649,-43.556173,1737420935000,0.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],40022.8,270,1.0
902473,,67,-22.919312,-43.608447,1737419529000,0.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],35578.0,280,0.0
902482,,67,-22.892658,-43.529874,1737420941000,0.0,,volta,67 - TERMINAL DEODORO X CAMPO GRANDE [VOLTA],35921.4,268,1.0
902310,,60,-22.898063,-43.211664,1737420931000,0.0,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],61861.6,303,1.0
902486,,67,-22.920655,-43.608226,1737288714000,0.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],39328.2,256,0.0
902176,,11,-23.009848,-43.448053,1737420940000,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],116046.6,94,1.0
902180,,13,-22.920577,-43.645152,1737419400000,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],119263.9, ,0.0
902164,,10,-22.919943,-43.608137,1735597910000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],119984.3, ,0.0
902160,,25,-23.00074,-43.36607,1737420094000,25.8,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],114411.7,88,1.0
902174,,10,-23.016325,-43.47434,1737420943000,56.3,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],116068.2,255,1.0
902173,,25,-22.972584,-43.401477,1737419552000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],140481.2, ,0.0
902170,,11,-22.92011,-43.60846,1736425749000,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],53404.5,273,0.0
902130,,12,-22.920777,-43.607766,1737419931000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],108182.8, ,0.0
902158,,15,-22.920715,-43.645036,1737419307000,0.0,,ida,15 - CURRAL FALSO X ALVORADA [IDA],128128.8, ,0.0
